FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
25 de junio de 2024,,FONDO LIBRE,Reparto utilidades Francisco,Distribución de Utilidades,Corte general,,,,,,"-$ 6,259.0 ",,,,
26 de junio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 23.0,,,,
26 de junio de 2024,,GERSSON L3,Software WP Rocket,Software,WP Rocket,,,,,,-$ 45.0,,,,
28 de junio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 14.0,,,,
28 de junio de 2024,,GERSSON L3,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 20.0,,,,
29 de junio de 2024,,AGENCIA X,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 20.0,,,,
30 de junio de 2024,,GERSSON L2,Ventas Hotmart,Ingresos por Proyecto,Hotmart,,,,," $ 40,179.0 ",,,,,
2 de julio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 17.0,,,,
2 de julio de 2024,,GERSSON L3,Publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 4,290.0 ",,,,
2 de julio de 2024,,GERSSON L3,Pago a Lorena Videos,Nómina,Lorena Videos,,,,,,,,,-$ 327.0,
4 de julio de 2024,,GERSSON L3,Suscripción Stape,Suscripciones,Stape,,,,,,-$ 50.0,,,,
6 de julio de 2024,,AGENCIA X,Suscripción Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 11.1,,,,
6 de julio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 13.0,,,,
8 de julio de 2024,,GERSSON L3,Software Devzapp,Software,Devzapp,,,,,,-$ 132.1,,,,
9 de julio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 10.0,,,,
12 de julio de 2024,,GERSSON L3,Suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 3.3,,,,
15 de julio de 2024,,GERSSON L3,Suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 0.5,,,,
15 de julio de 2024,,AGENCIA X,Dominio Curves,Servicios de Hosting,Namecheap,,,,,,-$ 10.5,,,,
15 de julio de 2024,,GERSSON L3,Viaje Daniel,Pagos a Terceros,Pago Anual Payoneer,,,,,,-$ 400.0,,,,
16 de julio de 2024,,GERSSON L3,Suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 99.0,,,,
20 de julio de 2024,,GERSSON L3,Suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 249.0,,,,
24 de julio de 2024,,AGENCIA X,Pago Raquel Copy,Servicios Profesionales,Isabella Cuentas,,,,,,-$ 175.0,,,,
25 de julio de 2024,,HOTMART,Retiro de Hotmart,Retiros,Hotmart,,,,,-$ 112.0,$ 112.0,,,,
